Dress_ID,Style,Price,Size,Season,SleeveLength
1006032852,Sexy,Low,Medium,Summer,sleevless
1212192089,Casual,Low,Large,Summer,Petal
1190380701,vintage,High,Large,Automn,full
966005983,Brief,Average,Large,Spring,full
876339541,cute,Low,Medium,Summer,butterfly
1068332458,bohemian,Low,Medium,Summer,sleevless
1220707172,Casual,Average,ExtraLarge,Summer,full
1219677488,Novelty,Average,free,Automn,short
1113094204,Flare,Average,free,Spring,short
985292672,bohemian,Low,free,Summer,sleevless
1117293701,party,Average,free,Summer,full
898481530,Flare,Average,free,Spring,short
957723897,sexy,Low,Medium,Winter,threequarter
749031896,vintage,Average,Medium,Summer,short
1055411544,Casual,Low,Medium,Summer,short
1162628131,Casual,Low,free,Winter,full
624314841,cute,Average,Large,spring,short
830467746,bohemian,Medium,free,Automn,full
840857118,Brief,Average,Medium,Winter,threequarter
1113221101,Sexy,Average,Medium,Automn,sleevless
861754372,Sexy,Average,Large,Automn,full
856178100,Casual,Low,Medium,Summer,sleevless
1122989777,Brief,Low,ExtraLarge,Summer,short
840516484,Sexy,Average,Small,Summer,sleevless
768517084,Sexy,Average,free,Automn,sleevless
1139843344,Sexy,Average,Medium,Automn,sleevless
1004212992,Sexy,Average,Medium,Spring,sleevless
1235426503,Casual,Low,Large,Summer,sleevless
942808364,cute,Low,free,Automn,sleevless
629131530,cute,Low,Medium,Spring,short
851945460,Casual,Average,Large,Automn,sleevless
1150275464,Casual,Low,Medium,Spring,sleevless
1026634314,Casual,Average,Large,Automn,sleevless
978773911,Brief,Average,Large,Spring,sleevless
827791337,party,High,Medium,Spring,threequarter
640823350,Casual,Low,free,Winter,full
801861988,vintage,Average,free,Winter,full
1060207186,Brief,Average,Medium,Automn,short
1054679816,party,Average,Medium,Winter,sleevless
941190190,Casual,Average,Medium,Spring,short
943844640,Brief,Average,free,Spring,sleevless
661795386,Brief,Low,Large,Automn,halfsleeve
875312593,Casual,Average,Medium,Winter,short
971387676,Casual,Low,free,Spring,sleevless
1021185637,vintage,Average,Medium,Winter,sleevless
1163826114,Sexy,Average,Medium,Winter,short
735635595,Sexy,Average,Large,Spring,threequarter
1175184188,Casual,Average,Medium,Summer,halfsleeve
679415939,Casual,Low,Medium,Summer,sleevless
884147971,Casual,Medium,Large,Winter,full
841203385,Sexy,Low,free,Summer,sleevless
1117997056,Casual,Low,free,Summer,sleevless
1160536550,Casual,Average,Large,Spring,halfsleeve
828623528,Casual,Average,free,Automn,sleevless
763708514,sexy,Average,Medium,Spring,threequarter
1153442065,Novelty,Average,Small,Winter,full
743729613,Casual,Average,Small,Winter,full
1000493051,sexy,Low,Large,Automn,sleevless
911085061,bohemian,Low,Medium,Summer,sleevless
1174854264,work,Average,Medium,Automn,sleevless
1053296757,cute,High,Medium,Spring,full
1033843327,Casual,Average,free,Spring,short
1083779666,Casual,Average,Medium,Summer,short
746255172,Casual,Average,Medium,spring,sleevless
1100974555,Sexy,Low,Small,Automn,sleevless
1019134411,Casual,Average,Medium,Automn,short
1072477320,Casual,Low,free,Summer,halfsleeve
638423913,Casual,Medium,Small,Winter,full
936425780,work,Average,Large,Summer,short
1146088956,Casual,Medium,Medium,Automn,short
864253055,bohemian,Average,free,Summer,sleevless
1210582154,sexy,Low,Medium,Spring,short
926480831,Sexy,Average,Medium,Winter,sleevless
757260823,Casual,Low,free,Spring,full
630561922,Casual,Low,Small,Automn,sleevless
734061929,Casual,Low,Large,Spring,short
842060995,Casual,Average,ExtraLarge,Winter,full
1078431253,Casual,Low,free,Spring,sleevless
939770391,Casual,Average,free,Spring,sleevless
943188872,bohemian,very-high,free,Winter,sleevless
1130994272,Casual,Low,Medium,Summer,sleevless
907117649,party,Average,Medium,Spring,sleevless
967999477,Sexy,Low,free,Spring,full
944656411,vintage,Low,Medium,Summer,short
1096779299,Casual,Average,free,Winter,halfsleeve
1036333255,Casual,low,Large,Summer,short
1065316076,Casual,Low,Small,Automn,full
995802744,Sexy,Average,Small,Automn,sleevless
1018110870,Sexy,Low,Medium,Automn,full
850586379,Brief,Average,Medium,Winter,threequarter
1169895668,Casual,Average,Large,Spring,sleevless
688966772,Casual,Average,Large,Winter,short
1194626925,OL,Medium,Medium,Winter,halfsleeve
876708804,Sexy,Low,Medium,Spring,halfsleeve
1118628066,Casual,Medium,Small,Spring,full
1027818824,Casual,Medium,Medium,Spring,threequarter
891103323,Casual,Average,Medium,Spring,sleevless
1166855026,Casual,Average,free,Winter,full
1023850025,vintage,Low,Small,Summer,short
805438829,Sexy,Low,Large,Summer,full
836788720,fashion,Average,free,Summer,full
835787654,Casual,Average,Large,Summer,short
1148457078,Casual,Low,free,Winter,halfsleeve
887476609,bohemian,Low,free,Summer,short
535968075,work,Medium,Large,Winter,short
892801580,vintage,Average,Large,Summer,short
732650169,cute,Low,Medium,Spring,short
680070369,Casual,Low,free,Automn,full
1002440915,Casual,Medium,free,Spring,sleevless
737538048,Casual,Average,Large,Automn,halfsleeve
1104450248,Sexy,Average,Large,Automn,sleevless
797673346,Casual,Low,free,Winter,sleevless
1039982741,Casual,Average,Medium,Automn,short
829087315,cute,Average,Large,Automn,sleevless
1032990258,party,Average,Medium,Spring,halfsleeve
939422280,cute,Average,Large,Winter,sleevless
974746803,Casual,Average,Large,Spring,short
1018130478,Casual,Low,Large,Automn,full
956758119,Casual,Low,free,Automn,short
903426442,sexy,Average,Large,Winter,full
861626197,work,Average,Large,Winter,short
1077015977,vintage,Average,free,Summer,sleevless
817870237,Sexy,Low,free,Spring,full
1078996836,Sexy,Low,free,Winter,sleevless
881530990,work,Average,Large,Spring,short
937046375,Casual,Average,Medium,Summer,short
870994067,cute,Low,Medium,Automn,short
893330898,Sexy,Low,free,Summer,sleevless
822053936,party,Average,free,Automn,threequarter
1059959935,Casual,Average,free,Spring,short
1197204708,Casual,Low,Medium,Summer,full
713439584,Sexy,Average,Medium,Winter,full
732736124,work,Average,Medium,Spring,full
709353440,cute,Average,Large,Winter,sleevless
1031230798,bohemian,Average,Large,Automn,sleevless
1225512606,cute,High,Medium,Winter,threequarter
1158347154,Casual,Average,ExtraLarge,Winter,short
976975672,Novelty,Average,Large,Automn,short
520233308,Casual,Low,Medium,Automn,full
935827969,cute,Average,free,Summer,sleevless
1130624045,Sexy,Low,free,Automn,short
547555172,cute,Low,ExtraLarge,Summer,short
1083323104,Sexy,low,Large,Spring,sleevless
955188745,Casual,Average,Medium,Automn,sleevless
1140306858,Casual,Average,Large,Spring,sleevless
895807023,cute,low,free,Summer,sleevless
818505402,Casual,low,free,Summer,sleevless
897981100,Casual,Average,Large,winter,short
973481686,vintage,Average,free,winter,short
1021375534,cute,low,Large,Summer,sleevless
549437715,Casual,Average,Medium,Summer,sleevless
1097548715,vintage,Medium,Small,Winter,halfsleeve
578702321,Sexy,low,free,Summer,sleevless
1155548915,vintage,High,Large,Summer,short
1199064757,Casual,low,free,Spring,threequarter
1078994436,Sexy,Average,Small,Automn,short
949226757,Casual,Low,free,Spring,short
832191944,cute,Medium,free,Winter,sleevless
869572905,Casual,Low,free,Summer,sleevless
896048351,Sexy,Low,free,Spring,sleevless
854444464,Casual,Average,Large,Winter,short
1246749980,vintage,Average,Small,Spring,full
849613634,Casual,Average,free,Automn,full
1019768234,vintage,Average,Large,Winter,sleevless
785830491,cute,Average,ExtraLarge,Spring,full
832391864,Casual,Average,Large,Winter,short
1069595866,sexy,Medium,Medium,Winter,sleevless
733715437,Brief,Average,free,Summer,sleevless
828949946,Casual,High,Small,Spring,threequarter
765264430,Brief,Average,free,Winter,full
722020708,Casual,Low,free,Winter,full
980295760,Casual,Low,ExtraLarge,Summer,short
913978120,Sexy,Medium,Large,Summer,short
1062354779,Casual,Average,Medium,Winter,sleevless
1051749304,work,Average,Small,Automn,sleevless
1206128856,Casual,Low,Large,Winter,sleevless
956453735,cute,low,Large,Winter,threequarter
767971724,Brief,Average,Medium,Spring,full
722565148,Sexy,low,free,Automn,full
1167448608,cute,low,free,Summer,short
549159213,Casual,Average,free,Summer,short
940918554,Sexy,low,Medium,Winter,sleevless
522776523,Casual,low,free,Spring,sleevless
658650071,Casual,Medium,Medium,Winter,short
560474456,Sexy,low,free,Winter,sleevless
1150052066,bohemian,Average,Large,Winter,full
929797706,Casual,Low,free,,full
886351969,cute,Medium,free,Spring,sleevless
1071947910,Sexy,Average,Small,Automn,sleevless
813753347,Casual,Low,Small,Spring,full
733134203,vintage,Medium,free,Spring,sleevless
851256794,work,low,free,Summer,full
751049573,cute,Average,Medium,Summer,short
882490248,cute,Average,Medium,Summer,short
541172235,Casual,Average,Medium,winter,full
727676110,Casual,low,free,winter,full
891631697,party,Average,free,Summer,sleevless
1059306768,Casual,Average,free,Summer,sleevless
764321904,Sexy,Average,Large,winter,threequarter
902108125,Sexy,Average,free,Winter,sleevless
874397327,Casual,Average,Small,Summer,short
861698160,Casual,Average,Medium,Automn,full
981437831,Casual,Average,ExtraLarge,Automn,short
1036456647,Sexy,Average,Medium,Summer,sleevless
951280194,work,Average,Large,Summer,short
1079373429,Casual,Average,Medium,Summer,sleevless
747381880,vintage,Average,Large,Automn,sleevless
1099363892,Casual,Average,Medium,Summer,threequarter
941333009,cute,Average,Large,Summer,sleevless
819651586,bohemian,Low,free,Winter,short
1043590098,Casual,low,free,Spring,sleevless
1091666465,Casual,Average,Medium,Winter,sleevless
863336720,Casual,Average,free,Summer,sleevless
771972560,work,low,Medium,Winter,threequarter
756492184,Casual,Average,Small,Spring,full
1097157656,Casual,Average,Large,Automn,halfsleeve
573923366,sexy,Low,Medium,Automn,short
756620535,Casual,Low,free,Summer,full
765350508,Casual,low,Large,Winter,full
968294356,Casual,Average,Medium,Spring,sleevless
1017678811,Casual,low,free,Automn,threequarter
933231033,Casual,Average,Small,Spring,halfsleeve
1199765487,Casual,Average,Small,Summer,sleevless
965817793,Casual,low,free,Summer,sleevless
1074432879,Casual,Average,Small,Winter,sleevless
1132858821,Sexy,very-high,free,Winter,sleevless
905732124,Casual,low,free,Summer,sleevless
711045472,Casual,Average,Medium,Automn,short
923983419,Casual,Average,free,Summer,sleevless
733025646,Sexy,low,Medium,Automn,full
720099861,Casual,Average,free,Winter,full
923915314,Casual,Average,Medium,Winter,full
1077555214,Casual,low,Small,Spring,sleevless
1216538883,cute,Average,Medium,Winter,short
531254082,Casual,low,free,Spring,sleevless
890279029,Casual,Average,Medium,Automn,short
995964089,bohemian,Average,Medium,Spring,sleevless
868453353,Casual,Low,free,winter,sleevless
1024954013,Casual,Average,Large,Summer,sleevless
685606338,Casual,Medium,Medium,winter,full
877962269,Casual,Average,Medium,winter,sleevless
995644296,Sexy,Average,Medium,winter,sleevless
1066273951,Casual,Average,Medium,winter,short
822176645,Casual,Average,Medium,winter,threequarter
659466129,Casual,Average,Medium,winter,full
694493217,Casual,low,Medium,Summer,sleevless
793162246,Casual,Average,Large,Spring,halfsleeve
817945281,Casual,low,free,Summer,full
920902282,Casual,Average,Medium,Summer,sleevless
727820291,Casual,low,Medium,Winter,short
699738864,Casual,low,Small,summer,full
1197211965,cute,Low,free,Summer,sleevless
682561447,party,very-high,Medium,Spring,sleevless
999081623,Casual,Average,Medium,Automn,sleevless
1108613896,party,very-high,Large,Winter,sleevless
1054555186,party,very-high,Medium,Winter,cap-sleeves
915238287,Casual,Low,Medium,Winter,turndowncollor
1107279894,party,very-high,Medium,Spring,threequater
1163040038,party,high,Medium,Winter,sleevless
1091877430,party,high,Medium,Spring,sleevless
1053467336,party,Average,Medium,Winter,capsleeves
609889168,party,high,Medium,Winter,sleeveless
662727740,party,,free,Winter,sleevless
1090993173,party,,Large,Summer,full
963684109,party,very-high,Medium,Spring,sleeevless
619817668,party,high,Medium,winter,sleevless
1066740059,party,Average,Medium,Spring,sleevless
732184480,party,very-high,Large,Spring,sleevless
1044683061,party,very-high,Medium,Winter,sleevless
579010251,party,high,Large,Spring,sleevless
751364623,party,Average,Large,,sleevless
898316819,party,Medium,Small,Winter,short
622667306,party,very-high,Medium,Spring,sleevless
809344968,party,Medium,Small,Spring,sleevless
754138176,party,very-high,Large,Winter,sleevless
674192921,Casual,Low,free,Summer,sleevless
726446177,party,very-high,Medium,Winter,short
1193747589,party,very-high,Medium,Winter,full
676827184,Casual,high,Medium,Summer,sleevless
619996560,party,Average,free,Winter,sleevless
618420156,party,very-high,Large,Winter,sleevless
689486739,party,very-high,Medium,Spring,cap-sleeves
751364614,party,Average,free,Spring,sleevless
825341937,party,high,Medium,Summer,sleevless
736813752,party,high,Medium,Summer,sleevless
636178374,party,Medium,Medium,Winter,sleevless
743485617,cute,Average,free,Spring,sleevless
933951149,party,Average,Medium,Spring,sleevless
684561284,party,very-high,free,Spring,sleevless
616295248,party,Medium,Medium,Spring,sleevless
736076633,party,very-high,Large,Spring,sleevless
1108073621,party,Medium,free,Winter,short
1053002876,work,Average,free,Winter,half
444282011,party,very-high,Medium,Spring,sleevless
949336768,Casual,high,free,Summer,sleevless
961972778,Casual,very-high,small,Spring,full
893088817,Casual,Medium,Medium,Spring,sleevless
952724683,party,Average,Medium,Spring,sleevless
855037000,Casual,Average,free,Summer,sleevless
660016574,Casual,very-high,Medium,winter,short
738079582,Casual,Low,free,winter,sleevless
861001391,party,high,Medium,winter,sleevless
1099696103,Casual,Average,free,Summer,sleevless
1044288976,Sexy,Average,Medium,Summer,sleeveless
890848361,vintage,Average,free,Summer,urndowncollor
929503394,vintage,Average,Small,Summer,short
1015249105,work,Average,Medium,Summer,halfsleeve
707537639,Casual,low,Large,Spring,short
702984554,Casual,Average,Large,Automn,short
896048351,Sexy,low,free,Spring,sleeveless
1023830972,Casual,Average,Small,Winter,halfsleeve
959052557,Casual,Average,Small,Winter,sleevless
1246945687,Novelty,Average,free,Summer,full
510519284,Casual,Low,free,Summer,sleevless
1079958917,Casual,Average,Medium,Summer,sleevless
1024325244,Casual,Average,free,winter,sleevless
841203385,Sexy,low,free,Spring,sleevless
1104504876,cute,Low,free,Winter,sleevless
1010356223,vintage,Average,Medium,Summer,full
1031230798,bohemian,Average,Large,Winter,sleevless
908989488,bohemian,Average,free,Spring,sleevless
822081627,Sexy,Average,Medium,Summer,sleevless
1116072373,Novelty,Medium,Medium,Winter,halfsleeve
856139963,Casual,Low,free,Spring,full
1032982013,Casual,Average,Large,Winter,thressqatar
879756967,Casual,Low,Medium,Winter,sleevless
912614690,bohemian,Low,free,Spring,short
1072784739,Casual,low,free,Spring,sleevless
945651303,Casual,Low,Medium,Spring,sleeevless
858212832,cute,Average,Medium,Summer,NULL
1219677488,Novelty,Average,free,winter,short
886501087,cute,low,Large,Spring,sleevless
944264938,Sexy,Low,free,Spring,sleevless
918722829,Sexy,Low,free,Summer,sleevless
750670078,Casual,Low,Medium,Winter,sleevless
1028061165,Casual,Average,Medium,Winter,sleevless
699738864,Casual,Low,Small,Summer,full
905732124,Casual,low,free,Spring,sleevless
961230947,work,Average,Medium,Winter,short
849947393,cute,Medium,free,Spring,short
857432541,Casual,Low,free,Spring,halfsleeve
1088674674,Casual,Low,Medium,Winter,full
939250541,Casual,Average,Medium,Spring,sleevless
876708804,Sexy,Low,Large,Summer,sleevless
1032990258,Casual,Average,Medium,Spring,halfsleeve
880692544,Casual,Average,ExtraLarge,winter,short
958270190,Casual,Low,Large,winter,full
732757918,Sexy,Average,Medium,Automn,sleevless
898646576,Casual,Low,free,winter,sleevless
950048509,Casual,high,Large,winter,full
754316257,Casual,Low,Large,Summer,sleevless
598523814,Casual,Average,free,Summer,full
774130360,Casual,Average,free,Winter,full
555727400,Casual,low,free,Summer,capsleeves
537463111,Casual,Average,Medium,Summer,thressqatar
933864550,Sexy,low,free,Summer,sleevless
944930838,vintage,low,free,Summer,short
901346821,Sexy,low,free,Summer,sleevless
818295153,bohemian,low,free,Summer,sleevless
733134203,Casual,low,Small,Winter,sleeevless
943414146,Sexy,Average,Small,Winter,sleevless
709353440,cute,Average,Medium,Summer,sleevless
1190383536,vintage,Low,free,Summer,sleevless
869138763,Casual,Average,Large,winter,sleevless
977173764,Casual,Average,Medium,winter,full
918331326,Brief,Average,free,winter,halfsleeve
733715437,Brief,Average,free,Winter,sleevless
955679920,Sexy,Average,Small,Winter,sleevless
862814652,Casual,Average,Large,Winter,sleevless
799301728,vintage,Average,Medium,Summer,short
1039384371,Casual,Average,free,Summer,sleevless
746518490,Sexy,Low,Medium,Winter,sleevless
720665176,Casual,Average,Small,Spring,full
1001750851,Casual,Low,Medium,Spring,halfsleeve
882975367,Sexy,Average,free,Summer,sleevless
1069577979,Casual,Low,free,Summer,sleevless
1079373429,work,Average,Medium,Spring,sleevless
711704151,cute,Average,free,Spring,full
876761815,Casual,Low,Medium,Spring,sleevless
1062354779,Casual,Average,Medium,Automn,sleevless
727676110,Casual,low,free,winter,full
845853510,Casual,Average,Large,Summer,short
832090686,cute,Average,Medium,Automn,thressqatar
839305476,Casual,Low,free,Automn,halfsleeve
855418066,Casual,Low,Large,Summer,sleevless
1211480431,Sexy,Low,Large,Summer,sleevless
946741571,bohemian,Average,free,Winter,sleevless
724177834,Casual,low,free,Summer,full
975877364,work,Average,Medium,Summer,sleevless
851697194,bohemian,Average,free,Summer,thressqatar
1108356000,Casual,Average,Medium,Spring,halfsleeve
871219565,Brief,Low,Medium,Summer,short
1250787559,cute,Low,free,Spring,sleevless
942245416,Casual,Average,Medium,Spring,thressqatar
900108476,Casual,Low,free,winter,full
1019672746,vintage,Average,Large,winter,short
783980024,Casual,Average,free,Summer,short
970655043,bohemian,Low,Large,Summer,short
1139064593,Casual,high,Large,winter,thressqatar
939389270,Casual,Average,free,winter,sleevless
859321875,Brief,Low,Medium,Winter,full
703395323,Casual,Medium,free,Winter,full
1083779666,Casual,Average,Medium,Winter,short
966030991,party,Average,Medium,Summer,full
866405822,bohemian,Average,Small,Summer,short
941564304,Sexy,Average,free,Summer,sleevless
1119360745,Casual,Average,Medium,Spring,short
932375745,Casual,low,Large,Automn,short
789373177,Casual,Average,Medium,Automn,sleevless
1135456589,Casual,Average,ExtraLarge,Winter,short
932913675,Casual,Low,free,Summer,sleevless
1217548862,vintage,Average,Large,Summer,short
755078866,Casual,Low,free,winter,sleevless
1052420390,vintage,Average,Medium,Summer,thressqatar
924108301,Casual,Low,Large,Summer,full
675980168,bohemian,Average,Medium,Spring,sleevless
730603782,party,Average,Medium,Summer,full
934830377,bohemian,Low,free,Summer,sleevless
689406468,party,very-high,free,Summer,sleevless
870994067,cute,Low,Medium,Spring,short
1016250560,vintage,Average,Medium,Spring,halfsleeve
860334943,Casual,Medium,Large,Winter,short
863336720,Casual,Average,free,Summer,sleevless
835915937,Casual,Average,Medium,Summer,short
944641715,bohemian,Low,ExtraLarge,Spring,thressqatar
869395176,Casual,Average,Medium,Summer,sleevless
1097435333,Casual,Average,free,Summer,halfsleeve
1124120907,Casual,Average,free,Summer,sleevless
1130463523,Sexy,Medium,free,winter,sleevless
560474456,Sexy,low,free,Automn,sleevless
907669618,Sexy,Average,free,Spring,full
710089916,Brief,Average,ExtraLarge,Spring,full
793162246,Casual,Average,ExtraLarge,Summer,halfsleeve
1065317917,Casual,Average,free,Automn,full
737461130,Casual,Average,Medium,Summer,full
663993130,Casual,Medium,Large,Spring,sleevless
933231033,party,Average,Medium,Spring,halfsleeve
743417270,Sexy,low,free,Summer,sleevless
798898277,bohemian,Low,free,winter,sleevless
549401113,Casual,Low,free,Autumn,full
857189807,Sexy,Low,free,Summer,sleevless
1055149353,Sexy,Low,free,winter,NULL
1199912555,Casual,Average,ExtraLarge,Spring,sleevless
1249825438,Sexy,Average,free,Autumn,full
967191118,Sexy,Low,free,Spring,sleevless
871620435,Brief,Low,free,Autumn,sleevless
865490824,Sexy,high,Medium,Summer,sleevless
1079955163,Casual,Average,Large,Summer,full
600514129,cute,Medium,Small,Summer,sleevless
976975672,Novelty,Average,Medium,Autumn,short
720087997,Casual,Low,free,Spring,full
699651184,Casual,Low,Small,Autumn,sleevless
605122868,Casual,Average,Large,Autumn,sleevless
1000425584,cute,Average,Large,winter,sleevless
549159213,Casual,Average,free,Summer,capsleeves
898316315,party,Average,Medium,Spring,sleevless
1017484769,Sexy,Low,free,Summer,sleevless
733025646,Casual,Low,Large,Summer,thressqatar
909624960,work,Average,Medium,Summer,sleveless
1086459983,Novelty,Average,free,Summer,sleeveless
593007494,Casual,Low,free,Spring,sleevless
660179663,Casual,Average,Medium,Summer,full
1097157656,Casual,Average,Large,Spring,thressqatar
751776863,Casual,Average,free,Autumn,halfsleeve
1253973206,cute,Low,Medium,Summer,short
828790972,party,Average,Medium,winter,halfsleeve
933413410,Casual,Average,Medium,Summer,halfsleeve
550959163,Casual,Low,Large,Summer,sleevless
933926000,Casual,Average,Medium,winter,sleeveless
953168456,cute,Average,Large,Summer,sleevless
1124754999,Sexy,Average,Small,Summer,sleevless
832949213,Casual,Low,free,Summer,sleevless
801216472,cute,high,Medium,Spring,full
929898500,work,Average,Medium,winter,full
850490510,Casual,Average,Medium,Spring,halfsleeve
1099394392,Sexy,Low,free,Summer,sleevless
674885710,Casual,high,ExtraLarge,winter,full
1122991519,Sexy,Low,free,winter,sleevless
904781800,cute,Average,Medium,Autumn,sleevless
974438263,cute,Low,free,Spring,sleevless
875608094,Casual,Low,free,Summer,full
1061890181,Casual,Average,Large,Spring,sleevless
1033144189,cute,Average,Medium,Spring,full
860406062,Casual,Average,Medium,winter,halfsleeve
692445545,Casual,Low,free,Summer,full
974775647,Casual,Low,Medium,Automn,sleevless
1109819647,Casual,Average,free,winter,short
1223469038,Sexy,Average,free,winter,sleevless
511503677,Casual,Low,Medium,Summer,halfsleeve
1190558632,cute,Average,Large,Summer,sleevless
641665398,Casual,Low,free,winter,full
964917582,Casual,Average,Large,Summer,sleevless
859922576,cute,Average,Medium,Spring,halfsleeve
817353671,bohemian,Low,free,Summer,sleevless
990559192,Brief,Average,Medium,winter,halfsleeve
713391965,Casual,Low,Medium,Spring,full
722565148,Sexy,Low,free,Summer,full
532874347,Casual,Average,Medium,Summer,full
655464934,Casual,Average,Large,winter,sleevless
919930954,Casual,Low,free,Summer,short
